tg_ecotypeid	country	latitude	longitude
159	FRA	47.35	3.93333
265	FRA	44.65	-1.16667
763	KGZ	42.3	74.3667
765	KGZ	42.1833	73.4
766	KGZ	42.5833	73.6333
768	KGZ	42.8	76.35
772	TJK	37.35	72.4667
5151	UK	52.2	-1.7
5165	UK	51.3	0.4
5768	UK	54.1	-1.5
5772	UK	54.1	-2.3
5784	UK	56.4	-5.2
5811	UK	52.9	-3.1
6013	SWE	62.877	18.177
6016	SWE	62.9	18.4
6025	SWE	62.6437	17.7339
6040	SWE	55.66	13.4
6073	SWE	56.1481	15.8155
6074	SWE	56.4573	16.1408
6108	SWE	55.7989	13.1206
6145	SWE	55.9497	13.5533
6150	SWE	55.9261	13.5319
6151	SWE	55.6528	13.2244
6177	SWE	62.6322	17.69
6180	SWE	62.6322	17.6906
6184	SWE	62.8892	18.4522
6188	SWE	55.7683	14.1386
6195	SWE	55.7708	14.1342
6209	SWE	62.8836	18.1842
6216	SWE	63.0167	18.3283
6243	SWE	55.95	13.85
6244	SWE	62.9169	18.4728
6898	BEL	51.2167	4.4
6911	CPV	15.1111	-23.6167
6915	GER	50.3	6.3
6929	TJK	38.48	68.49
6938	RUS	55.7522	37.6322
6939	LIB	32.34	22.46
6940	GER	50.3	8.3
6945	NED	52.24	4.45
6958	FRA	46	3.3
6961	ESP	38.3333	-3.53333
6963	TJK	38.35	68.48
6979	SUI	47.25	8.26
6987	GER	48.0683	7.62551
7000	GER	50.9167	9.57073
7002	NED	51.3333	6.1
7003	SUI	47.5	7.5
7008	NED	52	5.675
7013	GER	52.4584	13.287
7025	ITA	44.5041	11.3396
7028	GER	49.5166	9.3166
7031	GER	50.0167	8.6667
7036	GER	50.5	9.5
7062	GER	50.2981	8.26607
7063	ESP	29.2144	-13.4811
7067	ITA	37.3	15
7071	FRA	48.0717	1.33867
7077	POR	40.12	-8.25
7092	FRA	49.416	2.823
7103	CZE	49.4167	16.2667
7106	GER	51.051	13.7336
7125	GER	49.5955	11.0087
7126	FIN	60.1997	24.5682
7127	GER	58.6656	24.9871
7143	NED	51.0167	5.86667
7164	DEN	55.675	12.5686
7165	GER	51.3472	8.28844
7186	LTU	54.8969	23.8924
7203	GER	49.631	11.5722
7207	JPN	35.0085	135.752
7209	POL	52.7333	15.2333
7217	FRA	48	0.5
7218	NED	52.1611	4.49015
7244	GER	50.001	8.26664
7255	POL	50.95	7.5
7268	GER	52.6969	10.981
7273	GER	51.0581	13.2995
7276	GER	50.2	8.5833
7282	GER	50.3827	8.01161
7287	GER	53.3422	8.42255
7288	NOR	60.385543	6.193019
7296	RUS	59	29
7298	AUT	47.04	10.51
7316	NED	51.9667	5.56667
7323	UKR	49	38.28
7333	ITA	46.5438	11.5614
7346	GER	52.6058	11.8558
7347	RUS	52	36
7353	NED	52.08	4.3
7372	AUT	47.0748	9.9042
7373	JPN	34.43	136.31
7378	GER	48.0333	7.7667
7384	NED	52.0333	5.55
7394	POL	52.3	21
7404	GER	52.6	10.0667
7411	GER	47.9299	10.8134
7521	CZE	49.38	16.81
8214	FRA	49	2
8230	SWE	56.68	16.5
8231	SWE	56.3	16
8240	SWE	55.705	13.196
8247	SWE	56.07	13.74
8249	SWE	57.7	15.8
8311	AUT	47.5	11.5
8312	GER	50.5	7.5
8351	SWE	60.25	18.37
8354	RUS	58	56.3167
8357	ESP	41.5	2.25
8376	SWE	62.69	18
8387	SWE	59	18
9057	SWE	56.1	13.9167
9058	SWE	57.75	16.6333
9371	SWE	63.016	18.3175
9394	SWE	56.5804	16.4063
9399	SWE	55.4234	13.9905
9409	SWE	56.0573	14.302
9416	SWE	57.7215	18.3837
9427	SWE	62.8815	18.4055
9470	SWE	57.6511	14.8043
9481	SWE	55.4242	13.8484
9506	POR	40.11	-7.47
9507	POR	38.45	-7.5
9510	POR	38.75	-7.59
9512	POR	38.22	-7.84
9517	ESP	42.19	-7.8
9518	ESP	39.88	-0.36
9520	ESP	41.7	-3.68
9521	ESP	41.43	2.13
9522	ESP	36.52	-5.27
9523	ESP	38.37	-2.66
9524	ESP	42.52	-0.56
9526	ESP	41.54	2.39
9527	ESP	40.37	-5.74
9528	ESP	40.94	-1.37
9529	ESP	36.97	-3.36
9534	ESP	40.05	-4.65
9535	ESP	42.31	3.19
9537	ESP	38.07	-6.66
9539	ESP	40.29	-6.67
9542	ESP	40.79	-4.05
9544	ESP	39.4	-5.33
9546	ESP	40.82	-1.68
9547	ESP	41.67	2.62
9548	ESP	40.4	-5
9549	ESP	42.23	-3.69
9553	ESP	41.58	-4.71
9555	ESP	39.58	-3.93
9557	ESP	42.46	0.7
9559	ESP	38.06	-4.38
9560	ESP	38.19	-6.24
9562	ESP	41.67	2
9564	ESP	40.45	-1.6
9565	ESP	42.97	-1.23
9567	ESP	42.34	1.3
9568	ESP	42.76	-0.23
9574	ESP	38.6	-2.7
9576	ESP	40.86	-4.11
9577	ESP	42.34	2.17
9579	ESP	38.33	-3.51
9581	ESP	42.84	-5.12
9582	ESP	41.48	-1.63
9584	ESP	41.19	-3.58
9586	ESP	41.03	-3.27
9587	ESP	41.5	-1.88
9589	ESP	41.6	-2.83
9591	ESP	42.86	-3.59
9594	ESP	42.04	1.01
9595	ESP	40.89	-5.5
9596	ESP	41.95	-7.45
9597	ESP	42.31	-2.53
9598	ESP	41.88	-6.51
9600	ESP	39.85	-6.04
9602	ESP	40.5	-3.96
9606	MAR	31.48	-7.45
9612	RUS	53.04	51.94
9619	RUS	51.84	79.48
9625	RUS	51.31	82.59
9629	RUS	51.35	82.18
9632	RUS	51.67	80.82
9634	RUS	54.13	81.31
9637	RUS	51.77	80.85
9640	RUS	51.87	80.06
9643	RUS	52.1	79.31
9649	ITA	39.13	16.17
9653	ITA	38.44	16.13
9657	ITA	38.45	16.04
9659	ITA	41.18	14.18
9697	BUL	41.62	23.94
9698	BUL	41.57	23.85
9699	BUL	41.37	23.14
9713	BUL	42.49	25.61
9716	BUL	41.54	24.98
9719	BUL	41.83	25.69
9723	BUL	41.42	23.67
9726	GRC	37.07	22.04
9736	ROU	44.69	25.17
9737	ROU	45.95	22.62
9739	ROU	46.01	22.33
9741	ROU	45.84	23.16
9743	ROU	45.14	25
9748	SRB	44.23	21.71
9749	SRB	43.54	22.29
9758	CHN	47.75	88.4
9759	IRN	37.47	49.47
9766	KGZ	42.26	74.16
9769	GER	48.55	8.99
9774	GER	48.59	9.22
9775	GER	48.41	8.79
9779	GER	48.5	8.78
9781	GER	48.52	9.11
9782	GER	48.53	9.09
9784	GER	48.5	8.8
9803	GER	48.42	8.76
9804	GER	48.45	8.87
9813	GER	48.4	8.77
9814	GER	48.42	8.79
9820	ESP	41	-4.71
9837	ESP	37.94	-5.6
9879	ESP	37.6	-1.12
9910	FRA	50.68	3.52
9920	FRA	48.54	4.32
9921	FRA	48.57	4.41
9925	FRA	48.91	4.52
9933	FRA	43.74	3.89
9941	POR	40.92	-8.54
9944	ESP	36.83	-6.36
9947	ESP	40.74	-3.9
9992	TUR	38.3	42.22
10006	UKR	44.64	34.38
10014	AZE	38.65	48.8
