"soilid","site","plot","date","comments"
"MLSL010020171030","01","00",2017-10-30,NA
"MLSL010020171030","01","00",2017-10-30,NA
"MLSL020020171123","02","00",2017-11-23,NA
"MLSL040020171108","04","00",2017-11-08,NA
"MLSL050020171002","05","00",2017-10-02,NA
"MLSL060020171102","06","00",2017-11-02,NA
"MLSL070020171102","07","00",2017-11-02,NA
"MLSL090020171020","09","00",2017-10-20,NA
"MLSL110020171115","11","00",2017-11-15,NA
"MLSL130020171115","13","00",2017-11-15,"site 10 uses same soil"
"MLSL230020180810","23","00",2018-08-10,NA
"MLSL240020181021","24","00",2018-10-21,NA
"MLSL240020171022","24","00",2017-10-22,"site 25 uses same soil"
"MLSL270020170930","27","00",2017-09-30,NA
"MLSL280020171118","28","00",2017-11-18,NA
"MLSL320020171103","32","00",2017-11-03,NA
"MLSL330020171027","33","00",2017-10-27,NA
"MLSL350020171025","35","00",2017-10-25,NA
"MLSL360020171206","36","00",2017-12-06,NA
"MLSL370020171206","37","00",2017-12-06,"www.tjerbo.no  ""Gartnerjord"" 80 liter.  Mixed : 86 vol % Sphagnum peat, 10 vol % sand, 4 vol % granulated clay. Ph.. 5,5 -6,5. Total-N: 900 mg/L, P-CAT: 35 mg /L, K-CAT: 190 mg/L."
"MLSL420020171020","42","00",2017-10-20,NA
"MLSL430020171026","43","00",2017-10-26,NA
"MLSL450020171102","45","00",2017-11-02,NA
"MLSL460020171013","46","00",2017-10-13,NA
"MLSL490020171019","49","00",2017-10-19,"1 falcon tube"
"MLSL520020171010","52","00",2017-10-10,NA
"MLSL530020171010","53","00",2017-10-10,NA
"MLSL540120180815","54","01",2018-08-15,NA
"MLSL540220180815","54","02",2018-08-15,NA
"MLSL540320180815","54","03",2018-08-15,NA
"MLSL540420180815","54","04",2018-08-15,NA
"MLSL540520180815","54","05",2018-08-15,NA
"MLSL540620180815","54","06",2018-08-15,NA
"MLSL540720180815","54","07",2018-08-15,NA
"MLSL540820180815","54","08",2018-08-15,NA
"MLSL540920180815","54","09",2018-08-15,NA
"MLSL541020180815","54","10",2018-08-15,NA
"MLSL541120180815","54","11",2018-08-15,NA
"MLSL541220180815","54","12",2018-08-15,NA
"MLSL540020170918","54","00",2017-09-18,"Brill PRO start substrate"
"MLSL550020170927","55","00",2017-09-27,NA
"MLSL560020171005","56","00",2017-10-05,NA
"MLSL570020171012","57","00",2017-10-12,"sent to Tubingen on July 7, 2018"
"MLSL600020171115","60","00",2017-11-15,NA
