SITE_CODE	recordsFH_done	recordsSB_done	recordsSOIL_done	demography_done	comment
1	done	not_done	done	done	NA
2	done	not_done	done	done	NA
3	not_done	not_done	not_done	not_done	not_reported
4	done	not_done	done	done	NA
5	done	done	done	done	NA
6	done	not_done	done	done	NA
7	not_done	not_done	done	not_done	not_reported
9	not_done	not_done	not_done	not_done	NA
10	done	not_done	not_done	not_done	NA
11	done	not_done	done	done	NA
12	not_done	not_done	not_done	not_done	NA
13	done	done	done	not_done	NA
19	not_done	not_done	not_done	not_done	not_successful
20	not_done	not_done	not_done	not_done	not_successful
21	not_done	not_done	not_done	not_done	not_successful
23	done	done	done	done	NA
24	done	not_done	done	not_done	NA
25	done	not_done	not_done	not_done	NA
26	not_done	not_done	not_done	not_done	NA
27	done	done	done	done	NA
28	done	not_done	done	done	NA
30	not_done	not_done	not_done	not_done	not_successful
31	not_done	not_done	not_done	not_done	not_successful
32	done	not_done	done	done	NA
33	not_done	done	done	not_done	NA
35	not_done	not_done	done	not_done	not_successful
36	not_done	not_done	done	not_done	NA
37	done	done	done	done	NA
41	not_done	not_done	not_done	not_done	not_successful
42	done	done	done	done	NA
43	done	done	done	done	NA
44	not_done	not_done	not_done	not_done	not_reported
45	done	not_done	done	done	NA
46	done	not_done	done	done	NA
47	not_done	not_done	not_done	not_done	not_successful
48	not_done	not_done	not_done	not_done	NA
49	done	not_done	not_done	done	NA
50	not_done	not_done	not_done	not_done	not_successful
51	not_done	not_done	not_done	not_done	not_successful
52	done	done	done	done	NA
53	done	not_done	done	done	NA
54	not_done	not_done	not_done	done	NA
55	done	not_done	done	done	NA
56	not_done	not_done	done	not_done	not_successful
57	done	not_done	done	done	NA
58	not_done	not_done	not_done	not_done	NA
59	not_done	not_done	not_done	not_done	not_reported
60	not_done	not_done	done	not_done	NA
